index,text,true_label,predicted_label,category
21582,is the only 1 that works around here ,negative,positive,other
22381,@smandythk hey! mandy the wake was sooooo sad  I will see ya tomorrow love ya!,negative,positive,elongation
23637,HSBC's website is broken one time more...  To relax me let's me listen &quot;Start Me Up&quot; from Rolling Stones and take a shower! #stones #music,negative,positive,hashtag
42954,@dinno and who knows u may find a new branch.. ( which myt ve lost in some kumbh mela  ),positive,negative,informal
49229, I need my handy dandy shooting hat.. I think that it should play a bigger role in my life.. The hat,negative,positive,other
88675,"There is not enough hours in a day for me, My work schedule seems to be increasing.. Perhaps my P.A has something to do with this  LOL.. ",positive,negative,negation
96234,this just in: my bank account has reached an all-time high ,positive,negative,other
104146,"Fun times last nite, but payin 4 it 2day... Could barely stay awake in church.   Gonna clean up apt, work on a few projects, then chill.",negative,positive,elongation
105425,off to geometry &amp; earth science ,negative,positive,other
108165,is amazed at all the crap found while cleaning my room at 2 in the morning ,positive,negative,other
119954,"Yes, @TechGlance got suspended, but we're now back  No idea why we got suspended.",positive,negative,negation
131637,"In a boring P.S.E lesson doing my CV, I dont have any Hobbies Lol, And I can't put 'twittering' down ",positive,negative,informal
154690,"It's driving me out of my mind that's why it's hard for me to find, can't get it out of my mind...  haha",positive,negative,elongation
157220,Angels and Demons is cool..but not as awesome as the book....some important scences were left out...and changed ,negative,positive,elongation
166928,"I am enjoying a few moments working in my little garden plot while Little G is napping. I hope she naps for a long time, she's is sick. ",negative,positive,other
185105,Before the Storm - Nick Jonas ft. Miley Cyrus âª Just a bit of the song  but I love this song is beautiful. Niley tells his story â¥,negative,positive,contrast
188034,Just got home with the Pre   Just gotta wait for the number to fully port over before I can make or receive any calls ,positive,negative,elongation
197788,"@jaimesays Seriously, from now on I'm bringing my own pb and almond-hazelnut butter. Hotel breakfasts do not cut it ",positive,negative,negation
205724,Buffalo Tom was a really good band ,negative,positive,intensification
222670,"sad to happy, emo to normal outcast, metal to rock to dance? yup. that's what's happenin to meh...  but not going from tomboy to girly.",positive,negative,elongation
